Model,Avg_PSNR,Avg_SSIM,Avg_PI,Avg_NIQE,Avg_LPIPS,Parameters,ModelSize_MB
RealESRGAN_26_LightweightDiscriminator_x4,23.9927,0.7188,3.7176,5.2349,0.212,16697987,63.7
RealESRGAN_27_UltraLightDiscriminator_V2_x4,24.4291,0.7243,3.8101,5.2294,0.2108,16697987,63.7
RealESRGAN_28_UltraFastQualityDiscriminatorModel_x4,24.3955,0.7258,3.8617,5.2262,0.2176,16697987,63.7
RealESRGAN_29_DEFAULT_x4,23.5436,0.7092,3.3985,4.3612,0.2209,16697987,63.7
RealESRGAN_31_NextSRGAN_x4,24.4845,0.722,3.7852,5.012,0.2087,16697987,63.7
RealESRGAN_32_UltraFastQualityDiscriminator_64_x4,24.3855,0.7232,3.7161,4.9417,0.2202,16697987,63.7
RealESRGAN_33_ConvNextDiscriminator_Stage1_x4,24.7655,0.7332,3.8682,5.171,0.2125,16697987,63.7
RealESRGAN_34_PATCHGAN_x4,24.2318,0.7168,3.6927,4.9212,0.217,16697987,63.7
RealESRGAN_35_UltraLightWeight_V1_x4,22.5864,0.6133,4.4117,6.1436,0.3099,16697987,63.7
