Model,Dataset,Avg_PSNR,Avg_SSIM,Avg_PI,Avg_NIQE,Avg_LPIPS,Parameters,ModelSize_MB
RealESRGAN_26_LightweightDiscriminator_x4,BSD100,24.02,0.6674,3.1744,4.7356,0.2604,16697987,63.7
RealESRGAN_26_LightweightDiscriminator_x4,Set14,23.7433,0.6996,3.5131,4.7506,0.2093,16697987,63.7
RealESRGAN_26_LightweightDiscriminator_x4,Set5,25.0967,0.791,4.1407,6.0742,0.1657,16697987,63.7
RealESRGAN_26_LightweightDiscriminator_x4,Urban100,22.67,0.7163,4.2042,5.4512,0.2132,16697987,63.7
RealESRGAN_27_UltraLightDiscriminator_V2_x4,BSD100,24.4033,0.6741,3.3014,4.822,0.2663,16697987,63.7
RealESRGAN_27_UltraLightDiscriminator_V2_x4,Set14,24.2167,0.7085,3.6842,4.8068,0.2096,16697987,63.7
RealESRGAN_27_UltraLightDiscriminator_V2_x4,Set5,25.7567,0.7959,4.2285,6.0595,0.1549,16697987,63.7
RealESRGAN_27_UltraLightDiscriminator_V2_x4,Urban100,22.795,0.7157,4.1342,5.2294,0.213,16697987,63.7
RealESRGAN_28_UltraFastQualityDiscriminatorModel_x4,BSD100,24.6267,0.6803,3.4171,4.856,0.2761,16697987,63.7
RealESRGAN_28_UltraFastQualityDiscriminatorModel_x4,Set14,24.1167,0.7098,3.6993,4.7616,0.2156,16697987,63.7
RealESRGAN_28_UltraFastQualityDiscriminatorModel_x4,Set5,25.58,0.7934,4.241,6.0127,0.1626,16697987,63.7
RealESRGAN_28_UltraFastQualityDiscriminatorModel_x4,Urban100,22.69,0.7167,4.2034,5.2987,0.2152,16697987,63.7
RealESRGAN_29_DEFAULT_x4,BSD100,23.7433,0.6617,2.745,3.6848,0.2718,16697987,63.7
RealESRGAN_29_DEFAULT_x4,Set14,23.3567,0.6985,3.3198,4.0212,0.2195,16697987,63.7
RealESRGAN_29_DEFAULT_x4,Set5,24.46,0.7681,3.8609,5.1911,0.1809,16697987,63.7
RealESRGAN_29_DEFAULT_x4,Urban100,22.15,0.7084,3.8034,4.641,0.2067,16697987,63.7
RealESRGAN_31_NextSRGAN_x4,BSD100,24.5533,0.6761,3.2249,4.5824,0.2608,16697987,63.7
RealESRGAN_31_NextSRGAN_x4,Set14,24.31,0.7086,3.6216,4.5619,0.2023,16697987,63.7
RealESRGAN_31_NextSRGAN_x4,Set5,25.6067,0.7866,4.2372,5.7967,0.1532,16697987,63.7
RealESRGAN_31_NextSRGAN_x4,Urban100,22.96,0.714,4.1927,5.1543,0.2232,16697987,63.7
RealESRGAN_32_UltraFastQualityDiscriminator_64_x4,BSD100,24.51,0.6789,3.1673,4.4738,0.2753,16697987,63.7
RealESRGAN_32_UltraFastQualityDiscriminator_64_x4,Set14,24.1733,0.7059,3.6024,4.5225,0.2172,16697987,63.7
RealESRGAN_32_UltraFastQualityDiscriminator_64_x4,Set5,25.4967,0.7886,4.1401,5.7567,0.1695,16697987,63.7
RealESRGAN_32_UltraFastQualityDiscriminator_64_x4,Urban100,22.85,0.7175,4.0742,5.0501,0.2178,16697987,63.7
RealESRGAN_33_ConvNextDiscriminator_Stage1_x4,BSD100,24.8467,0.686,3.4958,4.9229,0.2729,16697987,63.7
RealESRGAN_33_ConvNextDiscriminator_Stage1_x4,Set14,24.52,0.7163,3.7525,4.8085,0.2061,16697987,63.7
RealESRGAN_33_ConvNextDiscriminator_Stage1_x4,Set5,26.09,0.8055,4.1396,5.732,0.1503,16697987,63.7
RealESRGAN_33_ConvNextDiscriminator_Stage1_x4,Urban100,23.025,0.721,4.1932,5.2454,0.2249,16697987,63.7
RealESRGAN_34_PATCHGAN_x4,BSD100,24.2833,0.6705,3.1225,4.3989,0.2722,16697987,63.7
RealESRGAN_34_PATCHGAN_x4,Set14,24.0633,0.7028,3.4896,4.4355,0.2095,16697987,63.7
RealESRGAN_34_PATCHGAN_x4,Set5,25.3033,0.7807,4.1003,5.6605,0.163,16697987,63.7
RealESRGAN_34_PATCHGAN_x4,Urban100,22.8,0.7112,4.2414,5.3243,0.2262,16697987,63.7
RealESRGAN_35_UltraLightWeight_V1_x4,BSD100,22.9933,0.5717,3.9214,5.8046,0.3807,16697987,63.7
RealESRGAN_35_UltraLightWeight_V1_x4,Set14,22.3767,0.6015,4.1898,5.6266,0.3119,16697987,63.7
RealESRGAN_35_UltraLightWeight_V1_x4,Set5,23.31,0.6538,4.8625,6.9344,0.2292,16697987,63.7
RealESRGAN_35_UltraLightWeight_V1_x4,Urban100,21.205,0.6325,4.8039,6.2413,0.3217,16697987,63.7
